Inference for Bugs model at "../rFunctions/jagsModel2.txt", fit using jags,
 5 chains, each with 1e+05 iterations (first 200 discarded), n.thin = 3
 n.sims = 166330 iterations saved
           mu.vect sd.vect     2.5%      25%      50%      75%    97.5%  Rhat  n.eff
alpha[1]    -4.741   1.757   -8.226   -5.899   -4.731   -3.566   -1.297 1.001  36000
alpha[2]    -1.944   0.486   -2.908   -2.269   -1.939   -1.616   -1.006 1.001  27000
alpha[3]    -5.866   0.858   -7.609   -6.430   -5.846   -5.274   -4.244 1.001  15000
alpha[4]    -1.375   0.538   -2.431   -1.736   -1.372   -1.015   -0.318 1.001 170000
alpha[5]    -5.960   1.038   -8.087   -6.635   -5.926   -5.248   -4.013 1.001  28000
alpha[6]    -2.306   0.621   -3.530   -2.722   -2.304   -1.886   -1.098 1.001 150000
alpha[7]    -7.646   1.108   -9.928   -8.365   -7.606   -6.884   -5.583 1.001  18000
alpha[8]    -6.773   1.429   -9.763   -7.686   -6.714   -5.789   -4.144 1.002   3000
alpha[9]    -7.114   1.196   -9.558   -7.898   -7.086   -6.292   -4.861 1.001  32000
alpha[10]   -8.457   1.619  -11.822   -9.499   -8.388   -7.339   -5.476 1.001  30000
alpha[11]   -2.444   0.888   -4.189   -3.043   -2.440   -1.844   -0.710 1.001  13000
alpha[12]   -7.747   1.409  -10.683   -8.651   -7.681   -6.775   -5.171 1.002   3600
alpha[13]   -7.291   1.091   -9.525   -8.002   -7.256   -6.539   -5.257 1.001  53000
beta1[1]     6.644   1.386    4.009    5.702    6.614    7.550    9.466 1.001  21000
beta1[2]     2.711   0.409    1.934    2.432    2.701    2.982    3.540 1.001  18000
beta1[3]     5.864   0.679    4.589    5.396    5.845    6.309    7.248 1.001  12000
beta1[4]     1.834   0.330    1.195    1.611    1.829    2.054    2.492 1.001 170000
beta1[5]     6.589   0.878    4.977    5.982    6.551    7.152    8.414 1.001  24000
beta1[6]     3.964   0.568    2.879    3.575    3.955    4.341    5.107 1.001 120000
beta1[7]     8.594   1.031    6.702    7.881    8.552    9.258   10.741 1.001  13000
beta1[8]     8.684   1.366    6.238    7.736    8.601    9.541   11.607 1.002   2500
beta1[9]     8.091   1.063    6.111    7.356    8.058    8.783   10.283 1.001  26000
beta1[10]    9.255   1.368    6.771    8.307    9.186   10.130   12.124 1.001  29000
beta1[11]    4.214   0.746    2.797    3.701    4.199    4.711    5.717 1.001  14000
beta1[12]    8.418   1.235    6.188    7.557    8.350    9.202   11.036 1.002   3300
beta1[13]    8.557   1.053    6.611    7.830    8.516    9.237   10.734 1.001  54000
beta2[1]     3.730   0.748    2.322    3.245    3.697    4.182    5.306 1.001  14000
beta2[2]     4.033   0.618    2.873    3.605    4.017    4.442    5.284 1.001  25000
beta2[3]     3.144   0.718    1.699    2.666    3.166    3.634    4.507 1.002   4200
beta2[4]     3.348   0.653    1.989    2.938    3.370    3.789    4.576 1.001  12000
beta2[5]     4.163   0.793    2.810    3.606    4.089    4.641    5.915 1.001  38000
beta2[6]     3.210   0.653    1.917    2.770    3.217    3.654    4.473 1.002   4200
beta2[7]     3.389   0.645    2.114    2.969    3.392    3.813    4.652 1.001   5900
beta2[8]     3.466   0.716    2.018    3.013    3.470    3.928    4.867 1.001   6300
beta2[9]     3.474   0.677    2.164    3.031    3.465    3.907    4.838 1.002   5800
beta2[10]    3.733   0.682    2.434    3.285    3.710    4.161    5.150 1.001  21000
beta2[11]    3.590   0.692    2.282    3.137    3.567    4.019    5.017 1.001   9000
beta2[12]    3.788   0.713    2.473    3.316    3.751    4.221    5.300 1.001  24000
beta2[13]    3.515   0.624    2.304    3.105    3.506    3.917    4.772 1.001   8700
beta3[1]    -1.289   0.630   -2.470   -1.696   -1.311   -0.920    0.059 1.001   8700
beta3[2]    -1.109   0.524   -2.099   -1.463   -1.123   -0.768   -0.040 1.001  10000
beta3[3]    -1.841   0.579   -3.008   -2.226   -1.827   -1.438   -0.760 1.002   3900
beta3[4]    -1.253   0.415   -2.029   -1.532   -1.264   -0.990   -0.394 1.001  18000
beta3[5]    -1.158   0.629   -2.319   -1.573   -1.189   -0.782    0.189 1.001  10000
beta3[6]    -1.843   0.596   -3.063   -2.237   -1.818   -1.424   -0.750 1.002   4100
beta3[7]    -1.641   0.589   -2.865   -2.015   -1.620   -1.243   -0.534 1.001   6800
beta3[8]    -1.679   0.658   -3.097   -2.077   -1.633   -1.236   -0.492 1.001   7000
beta3[9]    -1.794   0.618   -3.105   -2.183   -1.754   -1.363   -0.694 1.001   6900
beta3[10]   -1.312   0.585   -2.441   -1.692   -1.319   -0.949   -0.109 1.001  23000
beta3[11]   -1.835   0.612   -3.138   -2.216   -1.795   -1.410   -0.752 1.001   6400
beta3[12]   -1.502   0.605   -2.754   -1.877   -1.484   -1.111   -0.337 1.001  47000
beta3[13]   -1.607   0.594   -2.850   -1.976   -1.583   -1.210   -0.494 1.001   8400
mu.alpha    -4.972   0.920   -6.751   -5.568   -4.987   -4.398   -3.096 1.001  81000
mu.beta1     5.971   0.895    4.123    5.422    5.995    6.550    7.677 1.001  34000
mu.beta2     3.571   0.526    2.550    3.218    3.563    3.921    4.613 1.001   7800
mu.beta3    -1.523   0.447   -2.424   -1.818   -1.514   -1.219   -0.668 1.001   7100
deviance  2078.154   9.588 2061.238 2071.398 2077.500 2084.230 2098.807 1.001  15000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 46.0 and DIC = 2124.1
DIC is an estimate of expected predictive error (lower deviance is better).
